Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
Dames 1,D 1-0001,18/09/2018,20:30,VBT Machelen Dames 6,VBT MACHELEN Dames 4,Gemeentelijke Sporthal Bosveld,0 - 3,"23/25, 22/25, 20/25",,
Dames 1,D 1-0008,27/09/2018,20:15,DAVOC LONDERZEEL,VBT Machelen Dames 6,Polyvalente zaal Steenhuffel,0 - 3,"15/25, 13/25, 12/25",,
Dames 1,D 1-0013,02/10/2018,20:30,VBT Machelen Dames 6,LAS GUAPAS,Gemeentelijke Sporthal Bosveld,3 - 0,"25/16, 25/23, 25/23",,
Dames 1,D 1-0022,10/10/2018,20:15,RELOAD,VBT Machelen Dames 6,Sporthal Caerenbergveld,0 - 3,"11/25, 8/25, 16/25",,
Dames 1,D 1-0095,16/10/2018,21:00,SPORTASUNA,VBT Machelen Dames 6,Sporthal Blauvenne,3 - 2,"25/21, 26/24, 23/25, 18/25, 15/10",,
Dames 1,D 1-0036,09/11/2018,20:15,ORIX-UFO,VBT Machelen Dames 6,Sportcomplex Schotte,,,,
Dames 1,D 1-0037,20/11/2018,20:30,VBT Machelen Dames 6,MISTOUCH GAVO,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0045,24/11/2018,15:15,ZENNEBLOK DAMES II EPPEGEM,VBT Machelen Dames 6,"Sporthal ""Waterleest""",,,,
Dames 1,D 1-0049,27/11/2018,20:30,VBT Machelen Dames 6,KATASTROFIE,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0055,11/12/2018,20:30,VBT Machelen Dames 6,DA@TMET LIEDEKERKE,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0067,18/12/2018,20:30,VBT MACHELEN Dames 4,VBT Machelen Dames 6,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0073,08/01/2019,20:30,VBT Machelen Dames 6,DAVOC LONDERZEEL,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0081,15/01/2019,20:45,LAS GUAPAS,VBT Machelen Dames 6,Gemeentelijke Sporthal Waalborre,,,,
Dames 1,D 1-0085,22/01/2019,20:30,VBT Machelen Dames 6,RELOAD,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0097,05/02/2019,20:30,VBT Machelen Dames 6,ORIX-UFO,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0103,20/02/2019,20:00,MISTOUCH GAVO,VBT Machelen Dames 6,Sporthal Richard Bauthier,,,,
Dames 1,D 1-0109,26/02/2019,20:30,VBT Machelen Dames 6,ZENNEBLOK DAMES II EPPEGEM,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0115,12/03/2019,20:15,KATASTROFIE,VBT Machelen Dames 6,Willy Vandenberghecentrum,,,,
Dames 1,D 1-0025,19/03/2019,20:30,VBT Machelen Dames 6,SPORTASUNA,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0121,21/03/2019,21:30,DA@TMET LIEDEKERKE,VBT Machelen Dames 6,Sporthal Heuvelkouter,,,,
