Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de divisie heren B,H2B-0002,16/09/2018,16:00,OXACO BVC ANTWERPEN ,VBT MACHELEN ,"Capenberg Oxaco Center, Boechout",3 - 0,"25/13, 25/19, 25/23",1 - 2,"25/14, 23/25, 13/15"
2de divisie heren B,H2B-0018,29/09/2018,20:30,VC SMASH LIER ,VBT MACHELEN ,"Stedelijke Sporthal, Lier",3 - 0,"25/23, 25/19, 25/18",3 - 0,"25/18, 25/19, 15/9"
2de divisie heren B,H2B-0020,13/10/2018,20:30,VBT MACHELEN ,BERG-OP WIJGMAAL,"Sporthal Bosveld, Machelen",1 - 3,"18/25, 18/25, 25/17, 15/25",1 - 2,"25/20, 11/25, 9/15"
2de divisie heren B,H2B-0032,03/11/2018,20:30,VBT MACHELEN ,VCV LEEFDAAL-BERTEM ,"Sporthal Bosveld, Machelen",3 - 0,"25/20, 25/20, 25/20",1 - 2,"25/18, 19/25, 10/15"
2de divisie heren B,H2B-0028,07/11/2018,20:00,TOPSPORT SCHOOL VILVOORDE B,VBT MACHELEN ,EVC Vilvoorde,1 - 3,"30/32, 25/3, 0/25, 12/26",0 - 0,
2de divisie heren B,H2B-0040,10/11/2018,20:30,VBT MACHELEN ,VC TESLA LINT B,"Sporthal Bosveld, Machelen",3 - 0,"25/19, 25/18, 25/17",2 - 1,"25/21, 25/23, 14/16"
2de divisie heren B,H2B-0048,18/11/2018,18:00,MORTSEL VOLLEY ANTWERPEN,VBT MACHELEN ,"Sporthal Den Drab, Mortsel",1 - 3,"22/25, 23/25, 25/18, 20/25",0 - 3,"0/25, 0/25, 0/25"
2de divisie heren B,H2B-0008,24/11/2018,17:00,VBT MACHELEN ,BMV BEVEREN MELSELE ,"Sporthal Bosveld, Machelen",3 - 1,"27/29, 25/23, 26/24, 25/12",3 - 0,"27/25, 25/21, 15/13"
2de divisie heren B,H2B-0050,01/12/2018,20:30,GEEL ZWART WIJNEGEM ,VBT MACHELEN ,Gem. Sportcentrum Wijnegem,0 - 3,"17/25, 19/25, 17/25",1 - 2,"25/22, 20/25, 7/15"
2de divisie heren B,H2B-0058,08/12/2018,20:30,VBT MACHELEN ,VOLMAR EKEREN,"Sporthal Bosveld, Machelen",3 - 0,"25/19, 25/20, 25/17",1 - 2,"22/25, 22/25, 15/10"
2de divisie heren B,H2B-0062,15/12/2018,20:30,FH NIJLEN ,VBT MACHELEN ,"Sporthal ´t Zand, Nijlen",3 - 1,"25/19, 26/28, 25/22, 25/22",0 - 2,"29/31, 4/9"
2de divisie heren B,H2B-0068,22/12/2018,20:30,VBT MACHELEN ,OXACO BVC ANTWERPEN ,"Sporthal Bosveld, Machelen",3 - 1,"25/21, 25/23, 21/25, 25/23",1 - 2,"25/23, 22/25, 9/15"
2de divisie heren B,H2B-0073,12/01/2019,20:30,BMV BEVEREN MELSELE ,VBT MACHELEN ,"Sporthal ´t Wit Zand, Melsele",,,,
2de divisie heren B,H2B-0080,19/01/2019,20:30,VBT MACHELEN ,VC SMASH LIER ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0089,26/01/2019,20:30,BERG-OP WIJGMAAL,VBT MACHELEN ,"Sporthal Ymeria, Wijgmaal",,,,
2de divisie heren B,H2B-0092,02/02/2019,20:30,VBT MACHELEN ,TOPSPORT SCHOOL VILVOORDE B,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0099,16/02/2019,20:30,VCV LEEFDAAL-BERTEM ,VBT MACHELEN ,"Gem. Sportzaal, Leefdaal",,,,
2de divisie heren B,H2B-0106,23/02/2019,17:00,VC TESLA LINT B,VBT MACHELEN ,Centrum De Witte Merel zaal A,,,,
2de divisie heren B,H2B-0112,09/03/2019,20:30,VBT MACHELEN ,MORTSEL VOLLEY ANTWERPEN,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0116,23/03/2019,20:30,VBT MACHELEN ,GEEL ZWART WIJNEGEM ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0124,30/03/2019,20:30,VOLMAR EKEREN,VBT MACHELEN ,"Koninklijk Atheneum, Ekeren",,,,
2de divisie heren B,H2B-0130,06/04/2019,20:30,VBT MACHELEN ,FH NIJLEN ,"Sporthal Bosveld, Machelen",,,,
Vlaamse Beker - Heren,VBH-0002,08/09/2018,20:00,LIZARDS LUBBEEK-LEUVEN A,VBT MACHELEN A,"Sporthal Korbeek-Lo, Leuven",1 - 3,"23/25, 25/16, 16/25, 22/25",,
Vlaamse Beker - Heren,VBH-0004,20/10/2018,15:00,VBT MACHELEN A,JTV DERO ZELE - BERLARE A,"Sporthal Bosveld, Machelen",3 - 1,"25/27, 25/23, 25/21, 25/20",,
Vlaamse Beker - Heren,VBH-0021,20/11/2018,21:00,VBT MACHELEN A,VCA 2011 AVERBODE B,"Sporthal Bosveld, Machelen",3 - 0,"25/14, 25/17, 25/18",,
Vlaamse Beker - Heren,VBH-0028,05/01/2019,20:30,VC GEEL,VBT MACHELEN A,"Sporthal De Doelen, Geel",,,,
2de Provinciale Mannen B,2PMB-0012,23/09/2018,13:30,VC ETERNIT KAPELLE O/D BOS B,VBT MACHELEN B,"Sporthal Eternit, Kapelle-op-den-Bos",3 - 0,"25/9, 25/15, 25/16",1 - 2,"25/22, 22/25, 12/15"
2de Provinciale Mannen B,2PMB-0017,29/09/2018,16:00,VBT MACHELEN B,VC KNØDDE MEISE,"Sporthal Bosveld, Machelen",0 - 3,"14/25, 20/25, 10/25",0 - 3,"21/25, 17/25, 16/18"
2de Provinciale Mannen B,2PMB-0020,06/10/2018,17:30,AVO WEMMEL,VBT MACHELEN B,"Gemeentelijke Sporthal, Wemmel",3 - 0,"25/16, 25/16, 25/16",3 - 0,"25/17, 25/20, 15/13"
2de Provinciale Mannen B,2PMB-0029,13/10/2018,16:00,VBT MACHELEN B,JEUGDVOLLEYBAL LONDERZEEL,"Sporthal Bosveld, Machelen",3 - 2,"14/25, 25/17, 21/25, 25/22, 16/14",0 - 3,"18/25, 18/25, 13/15"
2de Provinciale Mannen B,2PMB-0034,19/10/2018,20:30,DAVOC LOT B,VBT MACHELEN B,"Vogelenzang, Lot",2 - 3,"27/25, 22/25, 16/25, 25/18, 10/15",1 - 2,"25/15, 23/25, 13/15"
2de Provinciale Mannen B,2PMB-0077,27/10/2018,17:00,VBT MACHELEN B,VC ETERNIT KAPELLE O/D BOS B,"Sporthal Bosveld, Machelen",0 - 3,"14/25, 19/25, 20/25",0 - 3,"14/25, 15/25, 10/15"
2de Provinciale Mannen B,2PMB-0005,03/11/2018,16:00,VBT MACHELEN B,BDO HAASRODE LEUVEN (VHL) F,"Sporthal Bosveld, Machelen",3 - 0,"25/21, 25/0, 25/0",2 - 1,"12/25, 30/28, 15/12"
2de Provinciale Mannen B,2PMB-0039,11/11/2018,14:00,KRUIKENBURG TERNAT heren C,VBT MACHELEN B,Sporthal Kruikenburg,2 - 3,"13/25, 25/22, 19/25, 25/21, 11/15",2 - 1,"25/14, 25/15, 10/15"
2de Provinciale Mannen B,2PMB-0045,17/11/2018,20:00,VBT MACHELEN B,KRUIKENBURG TERNAT heren B,"Sporthal Bosveld, Machelen",0 - 3,"22/25, 19/25, 21/25",0 - 3,"19/25, 15/25, 9/15"
2de Provinciale Mannen B,2PMB-0051,01/12/2018,20:30,WOLVERTEM SPORTING A,VBT MACHELEN B,"Sportschuur, Wolvertem",3 - 1,"20/25, 25/21, 25/10, 25/16",3 - 0,"25/10, 25/19, 17/15"
2de Provinciale Mannen B,2PMB-0125,08/12/2018,20:30,KEVOC KEERBERGEN B,VBT MACHELEN B,"Gemeentelijke Sporthal, Keerbergen",3 - 2,"22/25, 22/25, 25/17, 25/19, 15/10",2 - 1,"25/19, 21/25, 15/12"
2de Provinciale Mannen B,2PMB-0063,15/12/2018,20:30,VOLLEY OPWIJK,VBT MACHELEN B,"Sportzaal Vrij Katholiek Onderwijs, Opwijk",3 - 0,"25/21, 25/20, 25/12",3 - 0,"26/24, 27/25, 15/9"
2de Provinciale Mannen B,2PMB-0071,22/12/2018,17:30,BDO HAASRODE LEUVEN (VHL) F,VBT MACHELEN B,Sporthal Heverlee,3 - 1,"17/25, 25/11, 25/19, 25/15",3 - 0,"25/0, 25/0, 15/0"
2de Provinciale Mannen B,2PMB-0079,19/01/2019,20:30,VC KNØDDE MEISE,VBT MACHELEN B,Sporthal Meise,,,,
2de Provinciale Mannen B,2PMB-0089,26/01/2019,20:00,VBT MACHELEN B,AVO WEMMEL,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Mannen B,2PMB-0093,02/02/2019,15:30,JEUGDVOLLEYBAL LONDERZEEL,VBT MACHELEN B,"Sportcentrum Blauvenne, Londerzeel",,,,
2de Provinciale Mannen B,2PMB-0101,16/02/2019,16:00,VBT MACHELEN B,DAVOC LOT B,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Mannen B,2PMB-0105,23/02/2019,15:00,VBT MACHELEN B,KRUIKENBURG TERNAT heren C,"Sporthal Bosveld, Machelen",,,,
2de Provinciale Mannen B,2PMB-0109,17/03/2019,18:00,KRUIKENBURG TERNAT heren B,VBT MACHELEN B,Sporthal Kruikenburg,,,,
