Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,
Heren 3,H 3-0021,11/10/2019,20:45,EUREKA 92,VBT MACHELEN MIKST,Sporthal Kunsthumaniora,
Heren 3,H 3-0068,06/11/2019,20:45,DE TRAMMEKES,VBT MACHELEN MIKST,Gemeentelijke Sporthal Zemst,
Heren 3,H 3-0039,16/11/2019,18:30,VBT MACHELEN MIKST,DE ROMEO'S,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0007,24/11/2019,15:10,ALL STARS,VBT MACHELEN MIKST,Guy Cudellzaal,
Heren 3,H 3-0049,28/11/2019,21:15,ATTILA 4,VBT MACHELEN MIKST,Sporthal Don Bosco (Gr. Bijgaarden),
Heren 3,H 3-0057,07/12/2019,18:30,VBT MACHELEN MIKST,RETERNAVOC TERNAT,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0061,12/12/2019,21:15,VOLLEY MOORSEL RECREATIE,VBT MACHELEN MIKST,Sporthal De Steenberg,
Heren 3,H 3-0002,21/12/2019,18:30,VBT MACHELEN MIKST,DE TRAMMEKES,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0074,11/01/2020,18:30,VBT MACHELEN MIKST,ALL STARS,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0082,15/01/2020,20:15,DAVOC LOT,VBT MACHELEN MIKST,Sporthal Vogelenzang,
Heren 3,H 3-0086,25/01/2020,18:30,VBT MACHELEN MIKST,EUREKA 92,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0014,01/02/2020,18:30,VBT MACHELEN MIKST,DAVOC LOT,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0105,11/02/2020,20:15,DE ROMEO'S,VBT MACHELEN MIKST,Sporthal Technisch Atheneum Halle: K.T.A.,
Heren 3,H 3-0115,15/02/2020,18:30,VBT MACHELEN MIKST,ATTILA 4,Gemeentelijke Sporthal Bosveld,
Heren 3,H 3-0123,16/03/2020,20:15,RETERNAVOC TERNAT,VBT MACHELEN MIKST,Gemeentelijke Sporthal Horizon,
Heren 3,H 3-0129,28/03/2020,18:30,VBT MACHELEN MIKST,VOLLEY MOORSEL RECREATIE,Gemeentelijke Sporthal Bosveld,
