"Reeks","Wedstrijdnr","Datum","Uur","Thuis","Bezoekers","Sporthall","Uitslag","Setstanden","Uitslag reserven","Setstanden reserven"
"U17 Meisjes 2e Provinciale D","U17M2PD-0001","08/09/2018","09:30","VBT MACHELEN","VOLLEY OPWIJK C","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0002","08/09/2018","09:30","VBT MACHELEN A","JEUGDVOLLEYBAL LONDERZEEL A","Sporthal Bosveld, Machelen","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0001","08/09/2018","10:30","KRUIKENBURG TERNAT B","VBT MACHELEN A","Sporthal Kruikenburg","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0001","08/09/2018","11:30","VBT MACHELEN","VCV LEEFDAAL-BERTEM","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0002","08/09/2018","12:00","VOLLEY BELLINGEN HALLE A","VBT MACHELEN B","GO! Technisch Atheneum Halle","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0001","08/09/2018","13:30","WOLVERTEM SPORTING B","VBT MACHELEN A","Sportschuur, Wolvertem","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0002","08/09/2018","13:30","WOLVERTEM SPORTING","VBT MACHELEN C","Sportschuur, Wolvertem","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0003","08/09/2018","14:00","VBT MACHELEN B","VELVOC A","Sporthal Bosveld, Machelen","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0030","08/09/2018","14:30","VOLLEY SCHEPDAAL VZW","VBT MACHELEN B","Sporthal Caerenbergveld, Schepdaal","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0002","08/09/2018","16:00","VBT MACHELEN B","VELVOC B","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0003","08/09/2018","16:00","VBT MACHELEN B","VOLLEY THOR TERVUREN","Sporthal Bosveld, Machelen","","","",""
"U15 Jongens 1e Provinciale","U15J1P-3","08/09/2018","16:30","KRUIKENBURG TERNAT A","VBT MACHELEN A","Sporthal Kruikenburg","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0001","08/09/2018","16:30","VOLLEY THOR TERVUREN","VBT MACHELEN","Sportcentrum Diependal, Tervuren","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0016","08/09/2018","18:00","VBT MACHELEN A","VOLLEY HAASRODE LEUVEN (VHL) B","Sporthal Bosveld, Machelen","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0005","15/09/2018","09:30","VBT MACHELEN A","VCV LEEFDAAL-BERTEM A","Sporthal Bosveld, Machelen","","","",""
"U17 Meisjes 2e Provinciale D","U17M2PD-0004","15/09/2018","09:30","VBT MACHELEN","GRIVOK GRIMBERGEN B","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0005","15/09/2018","09:30","WEVOK ST.-JORIS WEERT","VBT MACHELEN B","Ontmoetingscentrum, Sint-Joris-Weert","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0004","15/09/2018","10:00","WEVOK ST.-JORIS WEERT B","VBT MACHELEN B","Ontmoetingscentrum, Sint-Joris-Weert","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0020","15/09/2018","10:00","ZUUN VOLLEYBAL CLUB B","VBT MACHELEN A","Wildersportcomplex, Sint-Pieters-Leeuw","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0005","15/09/2018","10:00","SMASH NEERIJSE","VBT MACHELEN B","De Kronkel, Huldenberg","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0004","15/09/2018","11:30","VBT MACHELEN","SMASH NEERIJSE","Sporthal Bosveld, Machelen","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0006","15/09/2018","11:45","VBT MACHELEN","VOLLEY BELLINGEN HALLE","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0006","15/09/2018","11:45","LIZARDS LUBBEEK-LEUVEN","VBT MACHELEN A","Sporthal Lubbeek","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0005","15/09/2018","13:30","DAVOC LOT","VBT MACHELEN B","Vogelenzang, Lot","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0004","15/09/2018","13:30","VC LENNIK DAMES B","VBT MACHELEN A","Gem. Sporthal Jo Baetens, Lennik","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0005","15/09/2018","14:00","VBT MACHELEN A","VOLLEY THOR TERVUREN","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0006","15/09/2018","14:00","GRIVOK GRIMBERGEN","VBT MACHELEN C","Gem. Sporthal Prinsenbos, Grimbergen","","","",""
"3de Provinciale Vrouwen D","3PVD-0004","15/09/2018","15:00","JEUGDVOLLEYBAL LONDERZEEL C","VBT MACHELEN B","Sportcentrum Blauvenne, Londerzeel","","","",""
"U15 Jongens 1e Provinciale","U15J1P-6","15/09/2018","16:30","VBT MACHELEN A","VC FENIKS HAACHT A","Sporthal Bosveld, Machelen","","","",""
"3de Provinciale Mannen A","3PMA-0001","15/09/2018","20:00","VBT MACHELEN C","RUISBROEK 84","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0006","16/09/2018","11:30","VOLLEY OPWIJK B","VBT MACHELEN B","Sportzaal Vrij Katholiek Onderwijs, Opwijk","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0008","22/09/2018","09:30","VBT MACHELEN B","GRIVOK GRIMBERGEN","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0009","22/09/2018","09:30","VBT MACHELEN C","BRUSSELS VOLLEY","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0008","22/09/2018","10:00","SMASH NEERIJSE","VBT MACHELEN B","De Kronkel, Huldenberg","","","",""
"U11 Jongens 2e Provinciale C 2-2","U11J2PC 2-2-0009","22/09/2018","11:30","VBT MACHELEN B","KRUIKENBURG TERNAT C","Sporthal Bosveld, Machelen","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0007","22/09/2018","11:45","VBT MACHELEN A","VC ETERNIT KAPELLE O/D BOS","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0008","22/09/2018","11:45","VBT MACHELEN A","LIZARDS LUBBEEK-LEUVEN","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0009","22/09/2018","14:00","VBT MACHELEN B","ZUUN VOLLEYBAL CLUB","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0009","22/09/2018","14:00","VBT MACHELEN A","GOVOK CAMMAERT GOOIK  VZW B","Sporthal Bosveld, Machelen","","","",""
"3de Provinciale Mannen A","3PMA-0008","22/09/2018","14:30","VC LENNIK HEREN A","VBT MACHELEN C","Gem. Sporthal Jo Baetens, Lennik","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0012","22/09/2018","14:30","GOVOK CAMMAERT GOOIK  VZW","VBT MACHELEN","Sporthal Koornmolen, Gooik","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0008","22/09/2018","17:00","VC KNØDDE MEISE","VBT MACHELEN B","Sporthal Meise","","","",""
"3de Provinciale Vrouwen D","3PVD-0010","22/09/2018","18:00","VBT MACHELEN B","KEVOC KEERBERGEN C","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0012","22/09/2018","20:30","VBT MACHELEN A","RUISBROEK 84 A","Sporthal Bosveld, Machelen","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0009","23/09/2018","09:30","VOLLEY THOR TERVUREN","VBT MACHELEN","Gemeentelijke Sportzaal Vossem","","","",""
"U17 Meisjes 2e Provinciale D","U17M2PD-0009","23/09/2018","09:30","VC ETERNIT KAPELLE O/D BOS","VBT MACHELEN","Sporthal Eternit, Kapelle-op-den-Bos","","","",""
"U15 Jongens 1e Provinciale","U15J1P-7","23/09/2018","11:00","LIZARDS LUBBEEK-LEUVEN A","VBT MACHELEN A","Sporthal Korbeek-Lo","","","",""
"2de Provinciale Mannen B","2PMB-0012","23/09/2018","13:30","VC ETERNIT KAPELLE O/D BOS B","VBT MACHELEN B","Sporthal Eternit, Kapelle-op-den-Bos","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0010","29/09/2018","09:30","VBT MACHELEN B","WOLVERTEM SPORTING","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0011","29/09/2018","11:00","DAVOC LOT C","VBT MACHELEN C","Vogelenzang, Lot","","","",""
"U11 Meisjes 1e Provinciale B 2-2","U11M1PB 2-2-0011","29/09/2018","11:00","VC LENNIK DAMES A","VBT MACHELEN A","Gem. Sporthal Jo Baetens, Lennik","","","",""
"U15 Jongens 1e Provinciale","U15J1P-12","29/09/2018","11:45","VBT MACHELEN A","VOLLEY HAASRODE LEUVEN (VHL) B","Sporthal Bosveld, Machelen","","","",""
"U19 Meisjes 2e Provinciale","U19M2P-0016","29/09/2018","11:45","VBT MACHELEN","WOLVERTEM SPORTING","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0010","29/09/2018","11:45","VBT MACHELEN A","KRUIKENBURG TERNAT B","Sporthal Bosveld, Machelen","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0010","29/09/2018","12:30","KRUIKENBURG TERNAT A","VBT MACHELEN A","Sporthal Kruikenburg","","","",""
"U15 Meisjes 2e Provinciale C","U15M2PC-0026","29/09/2018","12:30","HZ 93 HOFSTADE-ZEMST","VBT MACHELEN B","Bloso Ter Heide, Hofstade","","","",""
"U11 Gemengd 3e Provinciale C 2-2","U11X3PC 2-2-0012","29/09/2018","14:00","GRIVOK GRIMBERGEN","VBT MACHELEN","Gem. Sporthal Prinsenbos, Grimbergen","","","",""
"U11 Jongens 1e Provinciale B 2-2","U11J1PB 2-2-0010","29/09/2018","15:30","VOLANZO LANDEN-ZOUTLEEUW A","VBT MACHELEN A","Sportcentrum De Passant, Zoutleeuw","","","",""
"2de Provinciale Mannen B","2PMB-0017","29/09/2018","16:00","VBT MACHELEN B","VC KNØDDE MEISE","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0011","29/09/2018","16:00","VBT MACHELEN B","SPARTANA STEENOKKERZEEL","Sporthal Bosveld, Machelen","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0013","29/09/2018","17:00","VC KNØDDE MEISE","VBT MACHELEN B","Sporthal Meise","","","",""
"U15 Meisjes 2e Provinciale B","U15M2PB-0010","29/09/2018","17:00","GRIVOK GRIMBERGEN","VBT MACHELEN A","Gem. Sporthal Prinsenbos, Grimbergen","","","",""
"U13 Meisjes 2e Provinciale A","U13M2PA-0011","29/09/2018","17:00","VC KNØDDE MEISE A","VBT MACHELEN B","Sporthal Meise","","","",""
"3de Provinciale Mannen A","3PMA-0013","29/09/2018","20:00","VBT MACHELEN C","LIZARDS LUBBEEK-LEUVEN D","Sporthal Bosveld, Machelen","","","",""
"2de Provinciale Vrouwen B","2PVB-0016","29/09/2018","20:30","WOLVERTEM SPORTING A","VBT MACHELEN A","Sportschuur, Wolvertem","","","",""
"3de Provinciale Vrouwen D","3PVD-0014","30/09/2018","13:30","VC ETERNIT KAPELLE O/D BOS C","VBT MACHELEN B","Sporthal Eternit, Kapelle-op-den-Bos","","","",""
"U15 Jongens 2e Provinciale B","U15J2PB-0017","06/10/2018","09:30","VBT MACHELEN B","ZUUN VOLLEYBAL CLUB","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 2e Provinciale C","U13M2PC-0014","06/10/2018","09:30","VBT MACHELEN C","VC KNØDDE MEISE B","Sporthal Bosveld, Machelen","","","",""
"U11 Meisjes 2e Provinciale C 2-2","U11M2PC 2-2-0013","06/10/2018","10:00","JEUGDVOLLEYBAL LONDERZEEL A","VBT MACHELEN B","Sportcentrum Blauvenne, Londerzeel","","","",""
"U15 Jongens 1e Provinciale","U15J1P-15","06/10/2018","11:45","VBT MACHELEN A","VOLLEY HAASRODE LEUVEN (VHL) A","Sporthal Bosveld, Machelen","","","",""
"U13 Jongens 2e Provinciale C","U13J2PC-0030","06/10/2018","11:45","VBT MACHELEN B","VCV LEEFDAAL-BERTEM C","Sporthal Bosveld, Machelen","","","",""
"U13 Meisjes 1e Provinciale B","U13M1PB-0015","06/10/2018","12:30","GOVOK CAMMAERT GOOIK  VZW A","VBT MACHELEN A","Sporthal Koornmolen, Gooik","","","",""
"U13 Jongens 1e Provincale B ","U13J1PB-0014","06/10/2018","14:00","LIZARDS LUBBEEK-LEUVEN","VBT MACHELEN A","Sporthal Lubbeek","","","",""
