Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
2de divisie heren B,H2B-0002,16/09/2018,16:00,OXACO BVC ANTWERPEN ,VBT MACHELEN ,"Capenberg Oxaco Center, Boechout",,,,
2de divisie heren B,H2B-0018,29/09/2018,20:30,VC SMASH LIER ,VBT MACHELEN ,"Stedelijke Sporthal, Lier",,,,
2de divisie heren B,H2B-0020,13/10/2018,20:30,VBT MACHELEN ,BERG-OP WIJGMAAL,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0028,21/10/2018,15:00,TOPSPORT SCHOOL VILVOORDE B,VBT MACHELEN ,EVC Vilvoorde,,,,
2de divisie heren B,H2B-0032,03/11/2018,20:30,VBT MACHELEN ,VCV LEEFDAAL-BERTEM ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0040,10/11/2018,20:30,VBT MACHELEN ,VC TESLA LINT B,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0048,18/11/2018,18:00,MORTSEL VOLLEY ANTWERPEN,VBT MACHELEN ,"Sporthal Den Drab, Mortsel",,,,
2de divisie heren B,H2B-0008,24/11/2018,17:00,VBT MACHELEN ,BMV BEVEREN MELSELE ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0050,01/12/2018,20:30,GEEL ZWART WIJNEGEM ,VBT MACHELEN ,Gem. Sportcentrum Wijnegem,,,,
2de divisie heren B,H2B-0058,08/12/2018,20:30,VBT MACHELEN ,VOLMAR EKEREN,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0062,15/12/2018,20:30,FH NIJLEN ,VBT MACHELEN ,"Sporthal ´t Zand, Nijlen",,,,
2de divisie heren B,H2B-0068,22/12/2018,20:30,VBT MACHELEN ,OXACO BVC ANTWERPEN ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0073,12/01/2019,20:30,BMV BEVEREN MELSELE ,VBT MACHELEN ,"Sporthal ´t Wit Zand, Melsele",,,,
2de divisie heren B,H2B-0080,19/01/2019,20:30,VBT MACHELEN ,VC SMASH LIER ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0089,26/01/2019,20:30,BERG-OP WIJGMAAL,VBT MACHELEN ,"Sporthal Ymeria, Wijgmaal",,,,
2de divisie heren B,H2B-0092,02/02/2019,20:30,VBT MACHELEN ,TOPSPORT SCHOOL VILVOORDE B,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0099,16/02/2019,20:30,VCV LEEFDAAL-BERTEM ,VBT MACHELEN ,"Gem. Sportzaal, Leefdaal",,,,
2de divisie heren B,H2B-0106,23/02/2019,17:00,VC TESLA LINT B,VBT MACHELEN ,"Centrum De Witte Merel, Lint",,,,
2de divisie heren B,H2B-0112,09/03/2019,20:30,VBT MACHELEN ,MORTSEL VOLLEY ANTWERPEN,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0116,23/03/2019,20:30,VBT MACHELEN ,GEEL ZWART WIJNEGEM ,"Sporthal Bosveld, Machelen",,,,
2de divisie heren B,H2B-0124,30/03/2019,20:30,VOLMAR EKEREN,VBT MACHELEN ,"Koninklijk Atheneum, Ekeren",,,,
