Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
Dames 1,D 1-0001,18/09/2018,20:30,VBT Machelen Dames 6,VBT MACHELEN Dames 4,Gemeentelijke Sporthal Bosveld,0 - 3,"23/25, 22/25, 20/25",,
Dames 1,D 1-0007,25/09/2018,20:30,VBT MACHELEN Dames 4,KATASTROFIE,Gemeentelijke Sporthal Bosveld,3 - 0,"25/9, 25/13, 25/22",,
Dames 1,D 1-0017,06/10/2018,15:15,ZENNEBLOK DAMES II EPPEGEM,VBT MACHELEN Dames 4,"Sporthal ""Waterleest""",3 - 0,"25/15, 25/19, 29/27",,
Dames 1,D 1-0027,18/10/2018,21:30,DA@TMET LIEDEKERKE,VBT MACHELEN Dames 4,Sporthal Heuvelkouter,3 - 0,"25/8, 25/21, 25/16",,
Dames 1,D 1-0031,23/10/2018,20:30,VBT MACHELEN Dames 4,MISTOUCH GAVO,Gemeentelijke Sporthal Bosveld,3 - 0,"25/20, 25/16, 25/12",,
Dames 1,D 1-0050,06/11/2018,20:30,VBT MACHELEN Dames 4,DAVOC LONDERZEEL,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0038,13/11/2018,20:30,VBT MACHELEN Dames 4,RELOAD,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0046,20/11/2018,21:00,SPORTASUNA,VBT MACHELEN Dames 4,Sporthal Blauvenne,,,,
Dames 1,D 1-0056,04/12/2018,20:30,VBT MACHELEN Dames 4,LAS GUAPAS,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0067,18/12/2018,20:30,VBT MACHELEN Dames 4,VBT Machelen Dames 6,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0066,21/12/2018,20:15,ORIX-UFO,VBT MACHELEN Dames 4,Sportcomplex Schotte,,,,
Dames 1,D 1-0074,08/01/2019,20:15,KATASTROFIE,VBT MACHELEN Dames 4,Willy Vandenberghecentrum,,,,
Dames 1,D 1-0079,15/01/2019,20:30,VBT MACHELEN Dames 4,ZENNEBLOK DAMES II EPPEGEM,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0091,29/01/2019,20:30,VBT MACHELEN Dames 4,DA@TMET LIEDEKERKE,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0100,06/02/2019,20:00,MISTOUCH GAVO,VBT MACHELEN Dames 4,Sporthal Richard Bauthier,,,,
Dames 1,D 1-0104,13/02/2019,20:15,RELOAD,VBT MACHELEN Dames 4,Sporthal Caerenbergveld,,,,
Dames 1,D 1-0110,19/02/2019,20:30,VBT MACHELEN Dames 4,SPORTASUNA,Gemeentelijke Sporthal Bosveld,,,,
Dames 1,D 1-0116,14/03/2019,20:15,DAVOC LONDERZEEL,VBT MACHELEN Dames 4,Polyvalente zaal Steenhuffel,,,,
Dames 1,D 1-0122,19/03/2019,20:45,LAS GUAPAS,VBT MACHELEN Dames 4,Gemeentelijke Sporthal Waalborre,,,,
Dames 1,D 1-0128,26/03/2019,20:30,VBT MACHELEN Dames 4,ORIX-UFO,Gemeentelijke Sporthal Bosveld,,,,
