Reeks,Wedstrijdnr,Datum,Uur,Thuis,Bezoekers,Sporthall,Uitslag,Setstanden,Uitslag reserven,Setstanden reserven
Heren 3,H 3-0009,30/09/2018,15:10,ALL STARS,VBT MACHELEN GEMENGD,Guy Cudellzaal,3 - 0,"25/9, 26/24, 25/23",,
Heren 3,H 3-0092,17/10/2018,20:45,DE TRAMMEKES,VBT MACHELEN GEMENGD,Gemeentelijke Sporthal Zemst,3 - 0,"25/14, 25/20, 25/10",,
Heren 3,H 3-0023,26/10/2018,20:15,DE WITLOVERS,VBT MACHELEN GEMENGD,Sportcentrum Kampenhout,3 - 0,"25/17, 25/21, 25/12",,
Heren 3,H 3-0037,17/11/2018,18:30,VETERANEN MACHELEN,VBT MACHELEN GEMENGD,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0043,24/11/2018,18:30,VBT MACHELEN GEMENGD,ZENNEBLOK HEREN 4,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0057,07/12/2018,20:00,INONZENTIJD,VBT MACHELEN GEMENGD,"Gemeenteschool ""De Fonkel""",,,,
Heren 3,H 3-0131,11/12/2018,20:15,DE ROMEO'S,VBT MACHELEN GEMENGD,Sporthal Technisch Atheneum Halle: K.T.A.,,,,
Heren 3,H 3-0070,21/12/2018,20:45,EUREKA 92,VBT MACHELEN GEMENGD,Sporthal Kunsthumaniora,,,,
Heren 3,H 3-0100,31/12/2018,18:30,VBT MACHELEN GEMENGD,VOLLEY MOORSEL RECREATIE,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0076,12/01/2019,18:30,VBT MACHELEN GEMENGD,ALL STARS,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0084,17/01/2019,21:15,ATTILA 4,VBT MACHELEN GEMENGD,Sporthal Don Bosco (Gr. Bijgaarden),,,,
Heren 3,H 3-0088,26/01/2019,18:30,VBT MACHELEN GEMENGD,DE WITLOVERS,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0028,02/02/2019,18:30,VBT MACHELEN GEMENGD,DE TRAMMEKES,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0031,07/02/2019,21:15,VOLLEY MOORSEL RECREATIE,VBT MACHELEN GEMENGD,Sporthal De Steenberg,,,,
Heren 3,H 3-0103,16/02/2019,18:30,VBT MACHELEN GEMENGD,VETERANEN MACHELEN,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0113,20/02/2019,21:15,ZENNEBLOK HEREN 4,VBT MACHELEN GEMENGD,"Sporthal ""Waterleest""",,,,
Heren 3,H 3-0016,02/03/2019,18:30,VBT MACHELEN GEMENGD,ATTILA 4,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0004,16/03/2019,18:30,VBT MACHELEN GEMENGD,EUREKA 92,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0123,23/03/2019,18:30,VBT MACHELEN GEMENGD,INONZENTIJD,Gemeentelijke Sporthal Bosveld,,,,
Heren 3,H 3-0063,06/04/2019,18:30,VBT MACHELEN GEMENGD,DE ROMEO'S,Gemeentelijke Sporthal Bosveld,,,,
